#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
82,North Macedonia,"1,817",+25,104,+3,"1,301",412,21,872,50,"21,722","10,426","2,083,384",Europe
83,Iceland,"1,802",,10,,"1,786",6,,"5,285",29,"56,882","166,821","340,976",Europe
84,Estonia,"1,784",+10,64,+1,938,782,4,"1,345",48,"70,188","52,915","1,326,430",Europe
85,Tajikistan,"1,729",+205,41,+2,,"1,688",,182,4,,,"9,509,944",Asia
86,Lithuania,"1,547",+6,59,+3,997,491,17,567,22,"231,104","84,763","2,726,463",Europe
87,DRC,"1,538",+83,61,,272,"1,205",,17,0.7,,,"89,196,871",Africa
88,Djibouti,"1,518",+117,7,+3,"1,018",493,,"1,539",7,"18,345","18,602","986,206",Africa
89,New Zealand,"1,499",,21,,"1,433",45,,311,4,"230,718","47,892","4,817,478",Australia/Oceania
90,Slovakia,"1,495",+1,28,,"1,185",282,3,274,5,"143,433","26,273","5,459,332",Europe
91,Slovenia,"1,466",,104,,"1,335",27,5,705,50,"69,842","33,596","2,078,905",Europe
92,Somalia,"1,455",+34,57,+1,163,"1,235",2,92,4,,,"15,834,504",Africa
93,Gabon,"1,432",+112,11,,301,"1,120",10,645,5,"7,445","3,355","2,218,909",Africa
94,El Salvador,"1,413",+75,30,+3,474,909,21,218,5,"57,883","8,929","6,482,286",North America
95,Mayotte,"1,370",+28,18,,627,725,9,"5,038",66,"5,200","19,121","271,958",Africa
96,Kyrgyzstan,"1,216",+78,14,,827,375,5,187,2,"59,490","9,137","6,510,635",Asia
97,Maldives,"1,106",+12,4,,58,"1,044",9,"2,051",7,"11,775","21,832","539,339",Asia
98,Hong Kong,"1,056",,4,,"1,025",27,1,141,0.5,"168,291","22,470","7,489,597",Asia
99,Tunisia,"1,037",,45,,816,176,3,88,4,"40,559","3,436","11,803,449",Africa
100,Guinea-Bissau,"1,032",+42,4,,38,990,,526,2,"1,500",765,"1,961,955",Africa
101,Latvia,"1,009",+1,19,,662,328,3,534,10,"89,123","47,192","1,888,520",Europe
102,Sri Lanka,992,+11,9,,559,424,1,46,0.4,"44,391","2,074","21,402,538",Asia
103,Albania,948,+2,31,,727,190,1,329,11,"12,192","4,236","2,878,163",Europe
104,Lebanon,931,+20,26,,251,654,4,136,4,"62,424","9,141","6,828,952",Asia
105,Cyprus,917,+1,17,,515,385,10,760,14,"87,549","72,577","1,206,296",Asia
106,Kenya,912,+25,50,,336,526,1,17,0.9,"44,851",836,"53,618,426",Africa
107,Niger,909,+5,55,+1,714,140,,38,2,"5,888",244,"24,086,326",Africa
108,Mali,874,+14,52,,512,310,,43,3,"3,483",173,"20,173,287",Africa
109,Costa Rica,866,+3,10,,575,281,3,170,2,"20,352","4,000","5,088,445",North America
110,Burkina Faso,796,,51,,652,93,,38,2,,,"20,827,528",Africa
111,Paraguay,788,+2,11,,219,558,,111,2,"20,124","2,826","7,121,704",South America
112,Andorra,761,,51,,624,86,3,"9,851",660,"3,750","48,544","77,250",Europe
113,Zambia,761,+8,7,,192,562,1,42,0.4,"17,875",976,"18,315,744",Africa
114,Uruguay,737,+3,20,,569,148,4,212,6,"34,384","9,902","3,472,299",South America
115,Equatorial Guinea,719,+125,7,,22,690,,515,5,854,611,"1,396,748",Africa
116,Diamond Princess,712,,13,,651,48,4,,,,,,
117,Georgia,701,+6,12,,432,257,6,176,3,"39,573","9,918","3,990,056",Asia
118,San Marino,654,,41,,203,410,1,"19,279","1,209","3,499","103,145","33,923",Europe
119,Jordan,629,+16,9,,413,207,5,62,0.9,"144,356","14,165","10,190,738",Asia
120,Malta,558,+5,6,,456,96,1,"1,264",14,"51,677","117,074","441,404",Europe
121,Channel Islands,555,+1,43,,475,37,,"3,196",248,"5,342","30,760","173,668",Europe
122,Venezuela,541,,10,,241,290,1,19,0.4,"575,374","20,227","28,445,253",South America
123,Haiti,533,+77,21,+1,21,491,,47,2,"2,120",186,"11,385,346",North America
124,Jamaica,520,+3,9,,127,384,,176,3,"8,515","2,877","2,959,624",North America
125,Chad,519,+16,53,,117,349,,32,3,,,"16,363,230",Africa
126,Sierra Leone,519,+14,33,+1,148,338,,65,4,,,"7,956,201",Africa
127,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,508,332",Africa
128,Réunion,446,+3,,,354,92,4,499,,"17,200","19,228","894,540",Africa
129,Taiwan,440,,7,,398,35,,18,0.3,"69,395","2,914","23,811,687",Asia
130,Congo,412,+21,15,,110,287,,75,3,,,"5,500,357",Africa
131,Palestine,388,+7,2,,337,49,,76,0.4,"44,876","8,823","5,086,026",Asia
132,Nepal,375,+80,2,,36,337,1,13,0.07,"100,283","3,450","29,070,358",Asia
133,Ethiopia,352,+35,5,,116,231,,3,0.04,"59,029",515,"114,591,613",Africa
134,Benin,339,,2,,83,254,,28,0.2,"25,471","2,108","12,081,463",Africa
135,Isle of Man,335,,24,,296,15,9,"3,942",282,"4,167","49,036","84,979",Europe
136,Mauritius,332,,10,,322,0,,261,8,"89,814","70,635","1,271,519",Africa
137,Togo,330,+29,12,+1,106,212,,40,1,"13,452","1,630","8,253,526",Africa
138,Cabo Verde,328,,3,,85,240,,591,5,892,"1,606","555,245",Africa
139,CAR,327,,,,13,314,,68,,"3,498",726,"4,819,147",Africa
140,Montenegro,324,,9,,311,4,2,516,14,"10,167","16,188","628,057",Europe
141,Vietnam,324,+4,,,263,61,2,3,,"275,000","2,828","97,231,841",Asia
142,Madagascar,322,+18,1,,119,202,1,12,0.04,"5,670",205,"27,597,647",Africa
143,Rwanda,297,+5,,,203,94,,23,,"51,118","3,959","12,910,275",Africa
144,South Sudan,290,,4,,4,282,,26,0.4,"3,356",300,"11,177,537",Africa
145,Uganda,248,+21,,,63,185,,5,,"73,485","1,613","45,546,614",Africa
146,Sao Tome and Principe,246,+11,7,,4,235,,"1,125",32,175,800,"218,642",Africa
147,Liberia,229,+3,22,+1,123,84,,45,4,,,"5,042,239",Africa
148,French Guiana,210,+13,1,,131,78,,705,3,,,"297,666",South America
149,Eswatini,205,+2,2,,78,125,,177,2,"4,160","3,590","1,158,691",Africa
150,Martinique,192,,14,,91,87,,512,37,,,"375,299",North America
151,Myanmar,188,+4,6,,101,81,,3,0.1,"14,561",268,"54,365,797",Asia
152,Faeroe Islands,187,,,,187,0,,"3,829",,"8,863","181,466","48,841",Europe
153,Guadeloupe,155,,13,,109,33,3,387,32,"2,866","7,163","400,116",North America
154,Gibraltar,147,,,,145,2,,"4,363",,"5,187","153,953","33,692",Europe
155,Mozambique,145,+8,,,44,101,,5,,"6,272",201,"31,139,416",Africa
156,Brunei,141,,1,,136,4,2,323,2,"17,414","39,852","436,967",Asia
157,Mongolia,140,+4,,,24,116,2,43,,"11,000","3,362","3,271,651",Asia
158,Yemen,130,+2,20,,1,109,,4,0.7,120,4,"29,741,182",Asia
159,Bermuda,125,+2,9,,77,39,2,"2,006",144,"5,549","89,063","62,304",North America
160,Guyana,124,+7,10,,44,70,3,158,13,"1,164","1,481","786,098",South America
161,Cambodia,122,,,,122,0,,7,,"15,242",913,"16,690,156",Asia
162,Trinidad and Tobago,116,,8,,107,1,,83,6,"2,690","1,923","1,398,950",North America
163,Aruba,101,,3,,93,5,4,946,28,"1,985","18,601","106,712",North America
164,Monaco,97,+1,4,,87,6,1,"2,474",102,,,"39,208",Europe
165,Bahamas,96,,11,,42,43,1,244,28,"1,814","4,618","392,785",North America
166,Cayman Islands,94,,1,,55,38,,"1,432",15,"5,900","89,902","65,627",North America
167,Barbados,88,,7,,68,13,4,306,24,"4,004","13,935","287,334",North America
168,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,613","38,115",Europe
169,Mauritania,81,+19,4,,7,70,,17,0.9,"2,583",557,"4,633,587",Africa
170,Sint Maarten,77,,15,,54,8,7,"1,798",350,414,"9,669","42,816",North America
171,Malawi,70,,3,,27,40,1,4,0.2,"1,803",95,"19,065,078",Africa
172,Libya,65,,3,,35,27,,9,0.4,"3,633",530,"6,859,671",Africa
173,French Polynesia,60,,,,60,0,,214,,"3,496","12,454","280,713",Australia/Oceania
174,Syria,58,,3,,36,19,,3,0.2,,,"17,445,241",Asia
175,Angola,50,+2,3,+1,17,30,,2,0.09,"6,136",187,"32,728,977",Africa
176,Zimbabwe,46,+2,4,,18,24,,3,0.3,"28,019","1,889","14,835,899",Africa
177,Macao,45,,,,44,1,1,69,,,,"648,234",Asia
178,Burundi,42,+19,1,,20,21,,4,0.08,284,24,"11,843,500",Africa
179,Saint Martin,39,,3,,30,6,1,"1,011",78,,,"38,583",North America
180,Eritrea,39,,,,39,0,,11,,,,"3,540,310",Africa
181,Nicaragua,25,,8,,7,10,,4,1,,,"6,614,824",North America
182,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,"1,871","97,830",North America
183,Botswana,25,,1,,17,7,,11,0.4,"13,294","5,668","2,345,548",Africa
184,Gambia,24,+1,1,,13,10,,10,0.4,"1,476",613,"2,407,670",Africa
185,Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,246",Asia
186,Grenada,22,,,,14,8,4,196,,"2,419","21,510","112,461",North America
187,Bhutan,21,,,,5,16,,27,,"13,962","18,119","770,563",Asia
188,Laos,19,,,,14,5,,3,,"4,565",629,"7,262,376",Asia
189,Belize,18,,2,,16,0,,45,5,"1,043","2,629","396,712",North America
190,Fiji,18,,,,15,3,,20,,"1,300","1,451","895,659",Australia/Oceania
191,New Caledonia,18,,,,18,0,,63,,"5,454","19,126","285,163",Australia/Oceania
192,Saint Lucia,18,,,,18,0,,98,,786,"4,283","183,527",North America
193,St. Vincent Grenadines,17,,,,14,3,,153,,155,"1,398","110,898",North America
194,Curaçao,16,,1,,14,1,,98,6,389,"2,372","164,013",North America
195,Dominica,16,,,,16,0,,222,,433,"6,017","71,965",North America
196,Namibia,16,,,,13,3,,6,,"2,074",818,"2,535,067",Africa
197,Saint Kitts and Nevis,15,,,,14,1,,282,,327,"6,152","53,154",North America
198,Falkland Islands,13,,,,13,0,,"3,750",,402,"115,950","3,467",South America
199,Turks and Caicos,12,,1,,10,1,,310,26,109,"2,820","38,652",North America
200,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
201,Comoros,11,,1,,3,7,,13,1,,,"867,218",Africa
202,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992",North America
203,Suriname,11,+1,1,,9,1,,19,2,404,689,"585,992",South America
204,Greenland,11,,,,11,0,,194,,"1,721","30,322","56,758",North America
205,Seychelles,11,,,,11,0,,112,,,,"98,274",Africa
206,MS Zaandam,9,,2,,,7,,,,,,,
207,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,529","30,207",North America
208,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,925,443",Australia/Oceania
209,Caribbean Netherlands,6,,,,6,0,,229,,357,"13,630","26,193",North America
210,St. Barth,6,,,,6,0,,608,,,,"9,873",North America
211,Western Sahara,6,,,,6,0,,10,,,,"595,422",Africa
212,Anguilla,3,,,,3,0,,200,,,,"14,987",North America
213,Lesotho,1,,,,,1,,0.5,,,,"2,140,189",Africa
214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
215,China,"82,954",+7,"4,634",,"78,238",82,8,58,3,,,"1,439,323,776",Asia
