country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
Honduras,298,+30,22,,6,270,10,30,2
San Marino,277,+11,32,,35,210,14,"8,164",943
Palestine,254,+17,1,,24,229,,50,0.2
Niger,253,+69,10,,26,217,,10,0.4
Vietnam,245,+4,,,95,150,8,3,
Mauritius,244,+17,7,,7,230,2,192,6
Malta,241,+14,,,5,236,3,546,
Nigeria,238,+6,5,,35,198,2,1,0.02
Montenegro,233,+19,2,,1,230,4,371,3
Senegal,226,+4,2,,92,132,1,13,0.1
Kyrgyzstan,216,+69,4,+3,33,179,5,33,0.6
Ghana,214,,5,,31,178,2,7,0.2
Georgia,188,+14,2,,39,147,6,47,0.5
Bolivia,183,+26,11,+1,2,170,3,16,0.9
Faeroe Islands,183,+2,,,107,76,1,"3,745",
Sri Lanka,178,+2,5,,38,135,5,8,0.2
Venezuela,165,+6,7,,65,93,6,6,0.2
Mayotte,164,+17,2,,15,147,3,601,7
DRC,161,+7,18,,5,138,,2,0.2
Kenya,158,+16,6,+2,4,148,2,3,0.1
Martinique,151,+2,4,,50,97,20,402,11
Guadeloupe,139,+4,7,,31,101,14,347,17
Isle of Man,139,+12,1,,55,83,,"1,635",12
Brunei,135,,1,,82,52,3,309,2
Guinea,128,+7,,,5,123,,10,
Bangladesh,123,+35,12,+3,33,78,1,0.7,0.07
Cambodia,114,,,,53,61,1,7,
Paraguay,113,+9,5,+2,12,96,8,16,0.7
Gibraltar,109,+6,,,52,57,,"3,235",
Trinidad and Tobago,105,+1,8,+1,1,96,,75,6
Rwanda,105,+1,,,4,101,,8,
Djibouti,90,+31,,,9,81,,91,
Madagascar,82,+10,,,2,80,6,3,
Liechtenstein,77,,1,,55,21,,"2,020",26
Monaco,77,+4,1,,4,72,4,"1,962",25
French Guiana,72,+4,,,34,38,1,241,
Aruba,71,+7,,,2,69,,665,
Guatemala,70,,3,,15,52,3,4,0.2
El Salvador,69,+7,4,+1,5,60,4,11,0.6
Barbados,60,+4,2,+1,6,52,4,209,7
Jamaica,59,+1,3,,8,48,,20,1
Togo,58,+14,3,,23,32,,7,0.4
Uganda,52,,,,,52,,1,
Mali,47,+2,5,,9,33,,2,0.2
Congo,45,,5,,2,38,,8,0.9
Ethiopia,44,+1,2,,4,38,1,0.4,0.02
Macao,44,,,,10,34,1,68,
French Polynesia,42,+1,,,,42,,150,
Bermuda,39,+2,2,+2,17,20,,626,32
Cayman Islands,39,,1,,1,37,,593,15
Zambia,39,,1,,5,33,,2,0.05
Sint Maarten,37,+12,6,+2,1,30,,863,140
Bahamas,33,+4,5,,5,23,1,84,13
Saint Martin,32,,2,,7,23,6,828,52
Guyana,31,+7,4,,8,19,8,39,5
Eritrea,31,+2,,,,31,,9,
Benin,26,+4,1,+1,5,20,,2,0.08
Gabon,24,+3,1,,1,22,,11,0.4
Haiti,24,+3,1,,,23,,2,0.09
Tanzania,24,+2,1,,3,20,,0.4,0.02
Myanmar,22,+1,1,,,21,,0.4,0.02
Syria,19,,2,,2,15,,1,0.1
Libya,19,+1,1,,1,17,,3,0.1
Maldives,19,,,,13,6,,35,
Guinea-Bissau,18,,,,,18,,9,
New Caledonia,18,,,,1,17,,63,
Angola,16,+2,2,,2,12,,0.5,0.06
Equatorial Guinea,16,,,,3,13,,11,
Namibia,16,,,,3,13,,6,
Antigua and Barbuda,15,,,,,15,1,153,
Dominica,15,+1,,,1,14,,208,
Mongolia,15,+1,,,2,13,,5,
Liberia,14,+1,3,,3,8,,3,0.6
Fiji,14,+2,,,,14,,16,
Saint Lucia,14,,,,1,13,,76,
Curaçao,13,+2,1,,5,7,,79,6
Sudan,12,,2,,2,8,,0.3,0.05
Grenada,12,,,,,12,2,107,
Laos,12,+1,,,,12,,2,
Greenland,11,,,,4,7,,194,
Seychelles,11,+1,,,,11,,112,
Suriname,10,,1,,,9,,17,2
Zimbabwe,10,+1,1,,,9,,0.7,0.07
Mozambique,10,,,,1,9,,0.3,
Saint Kitts and Nevis,10,,,,,10,,188,
Eswatini,10,+1,,,4,6,,9,
MS Zaandam,9,,2,,,7,,,
Nepal,9,,,,1,8,,0.3,
Chad,9,,,,,9,,0.5,
Turks and Caicos,8,+3,1,,,7,,207,26
CAR,8,,,,,8,,2,
Belize,7,+2,1,+1,,6,1,18,3
Cabo Verde,7,,1,,1,5,,13,2
Vatican City,7,,,,,7,,"8,739",
St. Vincent Grenadines,7,,,,1,6,,63,
Somalia,7,,,,1,6,,0.4,
Botswana,6,,1,,,5,,3,0.4
Mauritania,6,,1,,2,3,,1,0.2
Nicaragua,6,,1,,,5,,0.9,0.2
Montserrat,6,,,,,6,,"1,202",
St. Barth,6,,,,1,5,,607,
Sierra Leone,6,,,,,6,,0.8,
Bhutan,5,,,,2,3,,6,
Malawi,5,+1,,,,5,1,0.3,
Gambia,4,,1,,2,1,,2,0.4
Sao Tome and Principe,4,+4,,,,4,,18,
Western Sahara,4,,,,,4,,7,
Anguilla,3,,,,,3,,200,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Caribbean Netherlands,2,,,,,2,,76,
Falkland Islands,2,,,,,2,,575,
Papua New Guinea,2,+1,,,,2,,0.2,
Saint Pierre Miquelon,1,,,,,1,,173,
South Sudan,1,,,,,1,,0.09,
Timor-Leste,1,,,,,1,,0.8,
