country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
Lebanon,133,+9,4,,4,125,3,19
South Africa,116,+31,,,,116,,2
UAE,113,,,,26,87,2,11
Armenia,110,+32,,,1,109,2,37
Slovakia,105,+8,,,,105,2,19
Taiwan,100,+23,1,,20,79,,4
Argentina,97,+18,2,,3,92,1,2
Mexico,93,+11,,,4,89,1,0.7
Colombia,93,+28,,,1,92,,2
Bulgaria,92,+11,2,,,90,,13
Croatia,89,+20,,,5,84,,22
Serbia,89,+17,,,1,88,4,10
Panama,86,+17,1,,,85,7,20
Vietnam,76,+10,,,16,60,,0.8
Algeria,75,+14,7,+2,32,36,,2
Latvia,71,+11,,,1,70,,38
Costa Rica,69,+19,1,+1,,68,2,14
Brunei,68,+12,,,,68,2,155
Albania,59,+4,2,+1,,57,2,21
Hungary,58,+8,1,,2,55,4,6
Cyprus,58,+9,,,,58,1,48
Faeroe Islands,58,+11,,,1,57,,"1,187"
Uruguay,58,+8,,,,58,,17
Jordan,56,+8,,,1,55,,5
Morocco,54,+10,2,,1,51,1,1
Andorra,53,+14,,,1,52,,686
Belarus,51,+15,,,5,46,,5
Sri Lanka,51,+7,,,3,48,,2
Malta,48,+10,,,2,46,,109
Palestine,44,,,,,44,,9
North Macedonia,43,+12,,,1,42,1,21
Oman,39,+6,,,13,26,,8
Bosnia and Herzegovina,39,+5,,,2,37,,12
Georgia,38,+4,,,1,37,1,10
Cambodia,37,+4,,,1,36,,2
Moldova,36,+6,1,+1,1,34,2,9
Senegal,36,+9,,,2,34,,2
Kazakhstan,36,+3,,,,36,,2
Venezuela,36,+3,,,,36,,1
Dominican Republic,34,+13,2,+1,,32,,3
Azerbaijan,34,,1,,6,27,,3
Lithuania,34,+8,,,1,33,1,12
Tunisia,29,+2,,,1,28,2,2
Liechtenstein,28,+9,,,,28,,734
Guadeloupe,27,+9,,,,27,,67
Martinique,23,+8,1,,,22,,61
Afghanistan,22,,,,1,21,,0.6
Burkina Faso,20,+5,1,+1,,19,,1.0
New Zealand,20,,,,,20,,4
Uzbekistan,18,+7,,,,18,,0.5
Macao,17,+4,,,10,7,,26
Ukraine,16,+2,2,,,14,,0.4
Jamaica,15,+2,1,+1,2,12,,5
Bangladesh,14,+4,1,+1,3,10,,0.09
Cameroon,13,+3,,,,13,,0.5
Maldives,13,,,,,13,,24
Bolivia,12,,,,,12,,1
Réunion,12,+3,,,,12,,13
French Guiana,11,,,,,11,,37
Paraguay,11,+2,,,,11,1,2
Rwanda,11,+4,,,,11,,0.8
Cuba,10,+3,1,+1,,9,,0.9
Monaco,9,,,,,9,,229
Ivory Coast,9,+5,,,1,8,,0.3
Honduras,9,+1,,,,9,,0.9
Guatemala,8,,1,,,7,,0.4
Nigeria,8,+5,,,1,7,,0.04
Gibraltar,8,+5,,,2,6,,237
Guam,8,+3,,,,8,,47
Montenegro,8,+6,,,,8,,13
Channel Islands,7,+1,,,,7,,40
DRC,7,+4,,,,7,,0.08
Ghana,7,,,,,7,,0.2
Kenya,7,+3,,,,7,,0.1
Trinidad and Tobago,7,+2,,,,7,,5
Ethiopia,6,,,,,6,,0.05
Mongolia,6,+1,,,,6,,2
Puerto Rico,6,+1,,,,6,,2
Seychelles,6,+2,,,,6,,61
Guyana,4,,1,,,3,,5
Aruba,4,+1,,,,4,,37
Equatorial Guinea,4,+3,,,,4,,3
Curaçao,3,,,,,3,,18
French Polynesia,3,,,,,3,,11
Gabon,3,,,,,3,,1
Kyrgyzstan,3,+3,,,,3,,0.5
Mauritius,3,+3,,,,3,,2
Mayotte,3,,,,,3,,11
St. Barth,3,,,,,3,,304
Saint Martin,3,+1,,,,3,,78
Tanzania,3,+2,,,,3,,0.05
Sudan,2,+1,1,,,1,,0.05
Barbados,2,,,,,2,,7
Benin,2,+1,,,,2,,0.2
Bermuda,2,+2,,,,2,,32
Greenland,2,+1,,,,2,,35
Liberia,2,,,,,2,,0.4
Mauritania,2,+1,,,,2,,0.4
Namibia,2,,,,,2,,0.8
New Caledonia,2,+2,,,,2,,7
Saint Lucia,2,,,,,2,,11
U.S. Virgin Islands,2,,,,,2,,19
Zambia,2,+2,,,,2,,0.1
Cayman Islands,1,,1,,,0,,15
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bahamas,1,,,,,1,,3
Bhutan,1,,,,,1,,1
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Djibouti,1,+1,,,,1,,1
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,+1,,,,1,,200
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,+1,,,,1,,23
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
