country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,tot_deaths_1m_pop
Ivory Coast,96,+16,,,3,93,,4,
Afghanistan,94,+10,4,+2,2,88,,2,0.1
Palestine,86,+15,1,,17,68,,17,0.2
Belarus,86,,,,29,57,2,9,
Mauritius,81,+33,2,,,79,1,64,2
Martinique,81,+15,1,,,80,12,216,3
Georgia,79,+4,,,11,68,1,20,
Cameroon,75,,1,,2,72,,3,0.04
Uzbekistan,75,+15,,,,75,4,2,
Guadeloupe,73,,1,,,72,4,182,2
Montenegro,69,+16,1,,,68,1,110,2
Cuba,67,+10,2,+1,1,64,2,6,0.2
Honduras,67,+15,1,+1,,66,,7,0.1
Channel Islands,66,+20,1,+1,,65,,380,6
Nigeria,65,+14,1,,3,61,,0.3,0.00
Trinidad and Tobago,65,+5,1,,,64,,46,0.7
Bolivia,61,+29,,,,61,,5,
Liechtenstein,56,+5,,,,56,,"1,469",
DRC,51,+3,3,+1,,48,,0.6,0.03
Rwanda,50,+9,,,,50,,4,
Bangladesh,44,+5,5,,11,28,1,0.3,0.03
Kyrgyzstan,44,,,,,44,,7,
Paraguay,41,+4,3,,,38,1,6,0.4
Mayotte,36,,,,,36,,132,
Gibraltar,35,+9,,,13,22,,"1,039",
Macao,33,+2,,,10,23,,51,
Monaco,33,+2,,,1,32,,841,
Kenya,31,+3,1,+1,1,29,,0.6,0.02
French Polynesia,30,+5,,,,30,,107,
Aruba,28,+9,,,1,27,,262,
French Guiana,28,,,,6,22,,94,
Jamaica,26,,1,,2,23,,9,0.3
Isle of Man,26,+3,,,,26,,306,
Guatemala,25,+1,1,,4,20,,1,0.06
Barbados,24,+6,,,,24,,84,
Togo,24,+1,,,1,23,,3,
Madagascar,23,+4,,,,23,,0.8,
Zambia,16,+4,,,,16,,0.9,
Bermuda,15,+8,,,2,13,,241,
New Caledonia,14,,,,,14,,49,
Uganda,14,,,,,14,,0.3,
El Salvador,13,+4,,,,13,,2,
Maldives,13,,,,8,5,,24,
Tanzania,13,,,,,13,,0.2,
Equatorial Guinea,12,+3,,,,12,,9,
Ethiopia,12,,,,,12,,0.1,
Djibouti,11,,,,,11,,11,
Dominica,11,,,,,11,,153,
Mongolia,11,+1,,,,11,,3,
Saint Martin,11,,,,,11,,284,
Niger,10,+3,1,,,9,,0.4,0.04
Bahamas,9,+4,,,1,8,,23,
Cayman Islands,8,,1,,,7,,122,15
Haiti,8,,,,,8,,0.7,
Namibia,8,+1,,,2,6,,3,
Suriname,8,,,,,8,,14,
Curaçao,7,+1,1,,2,4,,43,6
Gabon,7,+1,1,,,6,,3,0.4
Antigua and Barbuda,7,+4,,,,7,,71,
Grenada,7,+6,,,,7,,62,
Mozambique,7,+2,,,,7,,0.2,
Seychelles,7,,,,,7,,71,
Benin,6,,,,,6,,0.5,
Eritrea,6,+2,,,,6,,2,
Greenland,6,,,,2,4,,106,
Laos,6,+3,,,,6,,0.8,
Eswatini,6,+2,,,,6,,5,
Cabo Verde,5,+1,1,,,4,,9,2
Guyana,5,,1,,,4,,6,1
Fiji,5,,,,,5,,6,
Montserrat,5,+4,,,,5,,"1,002",
Myanmar,5,+2,,,,5,,0.09,
Syria,5,,,,,5,,0.3,
Angola,4,+1,,,,4,,0.1,
Congo,4,,,,,4,,0.7,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,"4,994",
Mali,4,+2,,,,4,,0.2,
Gambia,3,,1,,,2,,1,0.4
Sudan,3,,1,,,2,,0.07,0.02
Zimbabwe,3,,1,,,2,,0.2,0.07
Nepal,3,,,,1,2,,0.1,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Mauritania,3,+1,,,,3,,0.6,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,1,2,,16,
Sint Maarten,3,,,,,3,,70,
Anguilla,2,+2,,,,2,,133,
Belize,2,,,,,2,,5,
Bhutan,2,,,,,2,,3,
British Virgin Islands,2,,,,,2,,66,
Guinea-Bissau,2,,,,,2,,1,
Nicaragua,2,,,,,2,,0.3,
Saint Kitts and Nevis,2,,,,,2,,38,
Somalia,2,+1,,,,2,,0.1,
Turks and Caicos,2,+1,,,,2,,52,
Libya,1,,,,,1,,0.1,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9,
Timor-Leste,1,,,,,1,,0.8,
