country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
Uruguay,406,+6,6,+1,104,296,14,117,2
Taiwan,363,+8,5,,54,304,,15,0.2
Albania,361,+28,20,,104,237,7,125,7
Afghanistan,349,+40,7,,15,327,,9,0.2
Burkina Faso,345,+27,17,+1,90,238,,17,0.8
Jordan,345,+22,5,,110,230,5,34,0.5
Réunion,344,+10,,,40,304,4,384,
Uzbekistan,342,+76,2,,30,310,8,10,0.06
Cuba,320,+32,8,+2,15,297,11,28,0.7
Channel Islands,309,+47,6,+1,27,276,,"1,777",35
Oman,298,+21,2,,61,235,3,58,0.4
Honduras,268,+4,22,+7,6,240,10,27,2
San Marino,266,+7,32,,35,199,14,"7,839",943
Ivory Coast,261,+16,3,+2,37,221,,10,0.1
Vietnam,241,+1,,,90,151,3,2,
Palestine,237,+20,1,,25,211,,46,0.2
Nigeria,232,+18,5,+1,33,194,2,1,0.02
Mauritius,227,+31,7,,7,213,1,178,6
Malta,227,+14,,,5,222,3,514,
Senegal,222,+3,2,,82,138,1,13,0.1
Ghana,214,+9,5,,31,178,2,7,0.2
Montenegro,214,+13,2,,1,211,4,341,3
Niger,184,+40,10,+2,13,161,,8,0.4
Faeroe Islands,181,,,,99,82,1,"3,704",
Sri Lanka,176,+10,5,,33,138,5,8,0.2
Georgia,174,+12,2,+1,36,136,6,44,0.5
Venezuela,159,+4,7,,52,100,6,6,0.2
Bolivia,157,+18,10,,2,145,3,13,0.9
DRC,154,,18,,3,133,,2,0.2
Martinique,149,+4,4,+1,50,95,21,397,11
Mayotte,147,+13,2,,14,131,3,539,7
Kyrgyzstan,147,+3,1,,9,137,5,23,0.2
Kenya,142,+16,4,,4,134,2,3,0.07
Guadeloupe,135,+1,7,,31,97,14,337,17
Brunei,135,,1,,73,61,3,309,2
Isle of Man,127,+1,1,,,126,,"1,494",12
Guinea,121,+10,,,5,116,,9,
Cambodia,114,,,,50,64,1,7,
Trinidad and Tobago,104,+1,7,+1,1,96,,74,5
Paraguay,104,+8,3,,12,89,2,15,0.4
Rwanda,104,+2,,,4,100,,8,
Gibraltar,103,+5,,,52,51,,"3,057",
Bangladesh,88,+18,9,+1,33,46,1,0.5,0.05
Liechtenstein,77,,1,,,76,,"2,020",26
Monaco,73,+7,1,,3,69,4,"1,860",25
Madagascar,72,+2,,,2,70,6,3,
Guatemala,70,+9,3,+1,15,52,3,4,0.2
French Guiana,68,+7,,,27,41,1,228,
Aruba,64,,,,1,63,,599,
El Salvador,62,+6,3,,2,57,4,10,0.5
Djibouti,59,+9,,,9,50,,60,
Jamaica,58,+5,3,,8,47,,20,1
Barbados,56,+4,1,+1,6,49,4,195,3
Uganda,52,+4,,,,52,,1,
Congo,45,+23,5,+3,2,38,,8,0.9
Mali,45,+4,5,+2,1,39,,2,0.2
Togo,44,+3,3,,20,21,,5,0.4
Macao,44,,,,10,34,,68,
Ethiopia,43,+5,2,+2,4,37,1,0.4,0.02
French Polynesia,41,+1,,,,41,,146,
Cayman Islands,39,+4,1,,1,37,,593,15
Zambia,39,,1,,3,35,,2,0.05
Bermuda,37,,,,14,23,,594,
Saint Martin,32,+8,2,,7,23,6,828,52
Bahamas,29,+1,5,+1,4,20,1,74,13
Eritrea,29,,,,,29,,8,
Sint Maarten,25,+2,4,,1,20,,583,93
Guyana,24,+1,4,,,20,,31,5
Tanzania,22,+2,1,,3,18,,0.4,0.02
Benin,22,+6,,,5,17,,2,
Gabon,21,,1,,1,19,,9,0.4
Haiti,21,+1,1,+1,1,19,,2,0.09
Myanmar,21,,1,,,20,,0.4,0.02
Syria,19,+3,2,,2,15,,1,0.1
Maldives,19,,,,13,6,,35,
Libya,18,,1,,,17,,3,0.1
Guinea-Bissau,18,,,,,18,,9,
New Caledonia,18,+1,,,1,17,,63,
Equatorial Guinea,16,,,,1,15,,11,
Namibia,16,+2,,,3,13,,6,
Antigua and Barbuda,15,,,,,15,1,153,
Angola,14,+4,2,,2,10,,0.4,0.06
Dominica,14,,,,,14,,194,
Mongolia,14,,,,2,12,,4,
Saint Lucia,14,,,,1,13,,76,
Liberia,13,+3,3,+2,3,7,,3,0.6
Sudan,12,+2,2,,2,8,,0.3,0.05
Fiji,12,,,,,12,,13,
Grenada,12,,,,,12,2,107,
Curaçao,11,,1,,5,5,,67,6
Greenland,11,,,,3,8,,194,
Laos,11,+1,,,,11,,2,
Suriname,10,,1,,,9,,17,2
Mozambique,10,,,,1,9,,0.3,
Saint Kitts and Nevis,10,+1,,,,10,,188,
Seychelles,10,,,,,10,,102,
MS Zaandam,9,,2,,,7,,,
Zimbabwe,9,,1,,,8,,0.6,0.07
Nepal,9,,,,1,8,,0.3,
Chad,9,,,,,9,,0.5,
Eswatini,9,,,,,9,,8,
CAR,8,,,,,8,,2,
Cabo Verde,7,,1,,,6,,13,2
Vatican City,7,,,,,7,,"8,739",
St. Vincent Grenadines,7,,,,1,6,,63,
Somalia,7,,,,1,6,,0.4,
Botswana,6,+2,1,,,5,,3,0.4
Mauritania,6,,1,,2,3,,1,0.2
Nicaragua,6,+1,1,,,5,,0.9,0.2
Montserrat,6,,,,,6,,"1,202",
St. Barth,6,,,,1,5,,607,
Sierra Leone,6,+2,,,,6,,0.8,
Turks and Caicos,5,,1,+1,,4,,129,26
Belize,5,+1,,,,5,1,13,
Bhutan,5,,,,2,3,,6,
Gambia,4,,1,,2,1,,2,0.4
Malawi,4,,,,,4,,0.2,
Western Sahara,4,,,,,4,,7,
Anguilla,3,,,,,3,,200,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Caribbean Netherlands,2,,,,,2,,76,
Falkland Islands,2,+1,,,,2,,575,
Papua New Guinea,1,,,,,1,,0.1,
Saint Pierre Miquelon,1,+1,,,,1,,173,
South Sudan,1,+1,,,,1,,0.09,
Timor-Leste,1,,,,,1,,0.8,
