country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
Cyprus,95,+11,1,,3,91,3,79
Moldova,94,+14,1,,1,92,3,23
Malta,90,+17,,,2,88,1,204
Albania,89,+13,2,,2,85,2,31
Brunei,88,+5,,,2,86,2,201
Cambodia,84,+31,,,2,82,,5
Sri Lanka,82,+5,,,3,79,2,4
Belarus,76,,,,15,61,,8
Burkina Faso,75,+11,4,+1,5,66,,4
Tunisia,75,+15,3,+2,1,71,7,6
Ukraine,73,+26,3,,1,69,,2
Venezuela,70,,,,15,55,2,2
Senegal,67,+11,,,5,62,,4
New Zealand,66,+14,,,,66,,14
Azerbaijan,65,+12,1,,11,53,,6
Kazakhstan,59,+5,,,,59,,3
Palestine,59,+6,,,17,42,,12
Guadeloupe,56,,1,,,55,4,140
Oman,55,+3,,,17,38,,11
Georgia,54,+5,,,1,53,1,14
Trinidad and Tobago,50,+1,,,,50,,36
Réunion,47,,,,1,46,,52
Uzbekistan,43,+2,,,,43,,1
Afghanistan,40,+16,1,+1,1,38,,1
Cameroon,40,,,,2,38,,2
Martinique,37,,1,,,36,7,99
Liechtenstein,37,,,,,37,,970
Cuba,35,+14,1,,,34,,3
Channel Islands,32,,,,,32,,184
DRC,30,+7,1,,,29,,0.3
Nigeria,30,+8,,,2,28,,0.1
Mauritius,28,+14,2,+1,,26,1,22
Bangladesh,27,+3,2,,3,22,,0.2
Guam,27,+12,1,+1,,26,,160
Honduras,26,+2,,,,26,,3
Bolivia,24,+5,,,,24,,2
Ghana,23,+2,1,,,22,,0.7
Puerto Rico,23,+2,1,,,22,,8
Monaco,23,+5,,,1,22,,586
Paraguay,22,,1,,,21,1,3
Macao,22,+3,,,10,12,,34
Montenegro,21,+5,,,,21,,33
Guatemala,19,+2,1,,,18,,1
Jamaica,19,,1,,2,16,,6
Rwanda,19,+2,,,,19,,1
Guyana,18,,1,,,17,,23
French Guiana,18,,,,,18,,60
Togo,16,,,,,16,,2
French Polynesia,15,,,,,15,,53
Gibraltar,15,+5,,,2,13,,445
Kenya,15,+8,,,,15,,0.3
Barbados,14,,,,,14,,49
Ivory Coast,14,,,,1,13,,0.5
Kyrgyzstan,14,,,,,14,,2
Maldives,13,,,,3,10,,24
Tanzania,12,+6,,,,12,,0.2
Ethiopia,11,+2,,,,11,,0.10
Mayotte,11,,,,,11,,40
Mongolia,10,,,,,10,,3
Aruba,8,+3,,,1,7,,75
Seychelles,7,,,,,7,,71
Equatorial Guinea,6,,,,,6,,4
U.S. Virgin Islands,6,,,,,6,,57
Gabon,5,,1,,,4,,2
Isle of Man,5,+3,,,,5,,59
Saint Martin,5,,,,,5,,129
Suriname,5,,,,,5,,9
Bahamas,4,,,,,4,,10
Greenland,4,+2,,,,4,,70
New Caledonia,4,,,,,4,,14
Eswatini,4,+3,,,,4,,3
Cayman Islands,3,,1,,,2,,46
Curaçao,3,,1,,,2,,18
Cabo Verde,3,,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Liberia,3,,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Zambia,3,+1,,,,3,,0.2
Zimbabwe,3,,,,,3,,0.2
Sudan,2,,1,,,1,,0.05
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Fiji,2,,,,,2,,2
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Niger,2,+1,,,,2,,0.08
Saint Lucia,2,,,,,2,,11
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Dominica,1,+1,,,,1,,14
Eritrea,1,,,,,1,,0.3
Gambia,1,,,,,1,,0.4
Grenada,1,+1,,,,1,,9
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Mozambique,1,+1,,,,1,,0.03
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Syria,1,+1,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Uganda,1,,,,,1,,0.02
